building_rating_id,building_name,address,city,state,zipcode
2.0,parkview apartments,5 Jordan Dr,Whitehall,PA,18052
3.0,riverview apartments,912 Strawberry Ln,Clayton,NY,13624
2.0,riverview apartments,1629 Riverside Dr,Tulsa,OK,74119
3.0,parkview apartments,500 E St NE,Quincy,WA,98848
2.0,parkview apartments,1380 Veteran Ave,Los Angeles,CA,90025
3.0,park view apartments,10920 Covington by Pass Rd,Covington,GA,30014
3.0,parkview apartments,6785 Knott Ave,Buena Park,CA,90620
4.0,parkview apartments,212 N Dunton Ave,Arlington Heights,IL,60004
3.0,parkview apartments,516 Main Ave N,Bagley,MN,56621
3.0,riverview apartments,5360 Riverview Rd,Minneapolis,MN,55417
2.0,park view apartments,2501 Caldwell Ave S,Birmingham,AL,35205
2.0,parkview apartments,323 2nd Ave,Atkins,IA,52206
3.0,parkview,363 Autumn Dr,San Marcos,CA,92069
3.0,parkview,94-217 Lumiaina St,Waipahu,HI,96797
3.0,parkview apartments,1334 Memorial Ln,Huntington,IN,46750
3.0,riverview apartments,601 W 3rd St,Caruthersville,MO,63830
2.0,parkview apartments,1518 W London St,El Reno,OK,73036
3.0,parkside apartments,1 Parkside Ct,Glen Gardner,NJ,08826
3.0,parkview apartments,817 Parkview Dr,Salem,IN,47167
3.0,parkside apartments,448 N Joekel Ave,Giddings,TX,78942
3.0,parkview apartments,401 SE Q St,Leon,IA,50144
3.0,parkview apartments,700 Parkview Blvd,Covington,LA,70433
3.0,parkside apartments,125 N Chestnut St,Kewanee,IL,61443
3.0,parkside apartments,1870 Lusitana St,Honolulu,HI,96813
3.0,parkview apartments,106 Gillette St,Pardeeville,WI,53954
3.0,parkview apartments,101 Northfield Dr,Normal,IL,61761
2.0,parkview apartments,300 W 13th Ave,Pine Bluff,AR,71601
2.0,riverview apartments,757 Riverview Ter,Rochester,PA,15074
2.0,parkview apartments,118 S 9th St,New Baden,IL,62265
3.0,parkside apartments,1205-C E Florida Ave,Urbana,IL,61801
2.0,riverview apartments,16 Penobscot St,Augusta,ME,04330
2.0,riverview apartments,101 Western Ave,Fond du Lac,WI,54935
2.0,parkview apartments,77 Garnet Rd,Amherst,NY,14226
2.0,parkside apartments,390 S Home Ave,Franklin,IN,46131
2.0,parkview apartments,746 W Main St,Madison,WI,53715
3.0,riverview apartments,2119 Erie Ave,Sheboygan,WI,53081
3.0,parkside apartments,70 Garfield St,Ashland,OR,97520
2.0,riverview apartments,1 W Mosher St,Mount Pleasant,MI,48858
2.0,riverview apartments,3207 E 2nd Ave,Durango,CO,81301
3.0,parkview apartments,2500 Duke St,Beaufort,SC,29902
2.0,parkview apartments,1413 E 7th Ave,Spokane,WA,99202
2.0,parkside apartments,215 S G St,Tacoma,WA,98405
3.0,parkview apartments,3001 Parkridge Dr,Homewood,AL,35209
2.0,parkview apartments,44 Victory Ave,Upper Darby,PA,19082
3.0,parkview apartments,1100 Rock Ave,Waupun,WI,53963
2.0,parkside apartments,920 18th St S,Moorhead,MN,56560
2.0,parkview apartments,87 Main St,Fair Haven,VT,05743
3.0,parkview,1026 Osage St,Manhattan,KS,66502
2.0,parkview apartments,925 Parkview Dr,Boonville,IN,47601
3.0,riverview apartments,315 N Arch St,Connellsville,PA,15425
2.0,parkview apartments,11507 Douglas Ave,Huntley,IL,60142
2.0,parkview apartments,491 E College St,Lineville,AL,36266
3.0,riverview apartments,601 River Rd,San Marcos,TX,78666
3.0,parkview apartments,300 E St NE,Quincy,WA,98848
2.0,riverview apartments,401 W 2nd Ave,Twisp,WA,98856
3.0,park place apartments,1119 Bratton Rd,New Albany,MS,38652
3.0,parkview,922 9th Ave,Longview,WA,98632
3.0,parkview apartments,80 Emory Hill Dr,Jackson,TN,38301
2.0,park place apartments,2604 Flint Way,San Bernardino,CA,92408
3.0,parkview apartments,769 Best St,Buffalo,NY,14211
2.0,park place apartments,415A N State St,Shelby,MI,49455
2.0,riverview apartments,17 Hubbard Ave S,Sebeka,MN,56477
2.0,parkview apartments,2700 Harrison Ave NW,Canton,OH,44709
2.0,parkview apartments,311 N Garfield Ave,Oberlin,KS,67749
2.0,parkside apartments,970 NW 9th Ave,Pompano Beach,FL,33060
3.0,parkview apartments,222 S Church St,Palestine,TX,75801
3.0,parkside apartments,211 N Shasta Ave,Eagle Point,OR,97524
2.0,parkview apartments,1022 NW 7th St,Madison,SD,57042
3.0,riverview apartments,605 Valley Dr,Emporia,KS,66801
2.0,park view apartments,2727 Lanning Ave,Redding,CA,96001
3.0,parkview apartments,200 Gin Aly,Alexandria,TN,37012
2.0,park view apartments,501 W Cedar St,Willows,CA,95988
3.0,riverview apartments,497 Newell St,Watertown,NY,13601
3.0,parkview apartments,611 Norris Ave,McCook,NE,69001
2.0,park place apartments,1002 Park Ave,Monroe,LA,71201
4.0,park view apartments,40 W Southampton Dr,Columbia,MO,65203
3.0,parkside apartments,306 Oconnor St,Greensboro,NC,27406
3.0,parkside apartments,3730 McClintock Ave,Los Angeles,CA,90089
3.0,parkside apartments,525 E Cypress St,Kennett Square,PA,19348
3.0,parkview apartments,2010 Princess Ct,Lockport,IL,60441
3.0,parkside apartments,1400 E 35th St,Texarkana,AR,71854
